,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
1,IFR SB,None,-161.1482353524891,326.2964707049782,327.2662840045542,1204.487824535706,4.999999964018514,0.0,0.0
2,IFR SB,E,-50.0705494019315,106.141098803863,107.59581875322701,350.07864558586977,4.998445478682362,0.6145398659594022,0.7758636876840626
3,IFRGSB,None,-20.0455103231981,46.0910206463962,47.54574059576021,25.8353706560885,0.9200757579905989,0.9628410962651061,0.9879571752253371
4,IFRGSB,E,-19.491795732275875,46.98359146455175,48.92321806370375,11.403752842425085,0.04455821991225702,1.0,1.0
5,S,None,-19.580858280156505,45.16171656031301,46.616436509677015,14.588579182696382,0.29361092345987755,0.9921574573158171,0.9929520877432308
6,S,E,-19.57495186930589,47.14990373861178,49.08953033776378,14.348663308946913,0.36670049907437235,0.9860677301658557,0.9859299228190743
7,DW2,None,-29.78571097459421,63.57142194918842,64.54123524876442,192.68623749827088,4.374962733873269,0.7560712961996953,0.9273318228954733
8,DW2,E,-28.49755832328232,62.99511664656464,64.44983659592864,149.84120300208687,4.70908687429412,0.7520342082875516,0.9282528620185034
9,DW3,None,-19.54383973551529,45.08767947103058,46.54239942039459,13.072415779640261,1.0029176745869757,0.9637685402066296,0.9932135825648054
10,DW3,E,-19.534595795941925,47.06919159188385,49.00881819103585,12.675049006873058,1.2664811323321823,0.9499851229501483,0.9862149935668855
11,GM,None,-19.583119766889837,43.166239533779674,44.13605283335568,14.73794287146796,0.22861304019885542,0.9979494211711802,0.9993553132151365
12,GM,E,-19.577927459924624,45.15585491984925,46.61057486921325,14.547933368975858,0.2726088119211942,0.9930296295050466,0.9929727907265878
13,NB2,None,-20.56540395632932,45.13080791265864,46.10062121223464,28.454125755016506,1.786888968115628,0.9281721674187239,0.9924210418747512
14,NB2,E,-20.415228099991225,46.83045619998245,48.285176149346455,23.626360066883336,1.9653487087093637,0.9191925745213375,0.9870581934997003
15,TL,None,-19.53184660564024,45.06369321128048,46.518413160644485,12.756318422420085,0.8641331726568386,0.9695085337617668,0.9932983006807441
16,TL,E,-19.522437876442112,47.044875752884224,48.98450235203622,12.355607759846402,1.0052366229745873,0.9606990532356531,0.9863008757381361
